B
0
0
0
1
2
5
2
1
8
3
10
2
11
18
12
14
14
14
13
13
19
13
25
20
19
13
14
21
23
21
14
14
24
12
16
18
15
13
14
8
21
8
13
19
8
15
8
11
4
14
7
13
4
14
9
9
5
7
7
12
7
5
4
6
13
4
8
9
5
10
4
5
5
5
4
4
9
8
8
5
7
5
6
7
4
3
3
2
3
1
